workerid|MTurkWorkerID|LinkToPage|NumberOfHITs|gender|age|education|frequency
122|A2AFTOA85C1FM9|https://requester.mturk.com/workers/A2AFTOA85C1FM9|1|female|31|2|3
123|A2ANZ5AZ3NQO3K|https://requester.mturk.com/workers/A2ANZ5AZ3NQO3K|6|male|24|5|2
124|A2AOII8TNC874D|https://requester.mturk.com/workers/A2AOII8TNC874D|35|male|26|5|4
125|A2APPZDU0VS9LN|https://requester.mturk.com/workers/A2APPZDU0VS9LN|11|female|33|3|2
126|A2AR2PLDAHHB28|https://requester.mturk.com/workers/A2AR2PLDAHHB28|2|male|24|3|3
127|A2BAFU5B5G2AVX|https://requester.mturk.com/workers/A2BAFU5B5G2AVX|6|female|30|3|3
128|A2BM4OQ4QLFF8I|https://requester.mturk.com/workers/A2BM4OQ4QLFF8I|6|female|26|5|2
129|A2CK0OXMPOR9LE|https://requester.mturk.com/workers/A2CK0OXMPOR9LE|5|male|22|3|2
130|A2EGA1HHMWFN55|https://requester.mturk.com/workers/A2EGA1HHMWFN55|26|male|30|2|3
131|A2EI075XZT9Y2S|https://requester.mturk.com/workers/A2EI075XZT9Y2S|18|male|36|2|4
132|A2ET15FVBLRUIV|https://requester.mturk.com/workers/A2ET15FVBLRUIV|5|male|25|4|2
133|A2F4PN44SHD6X4|https://requester.mturk.com/workers/A2F4PN44SHD6X4|6|female|35|5|2
134|A2F79GFUWU5O96|https://requester.mturk.com/workers/A2F79GFUWU5O96|15|female|30|4|1
135|A2FCF13HE8EDCJ|https://requester.mturk.com/workers/A2FCF13HE8EDCJ|19|male|25|2|2
136|A2FV0CMG9S8CU0|https://requester.mturk.com/workers/A2FV0CMG9S8CU0|34|male|35|5|3
137|A2GK8NS27GDFCZ|https://requester.mturk.com/workers/A2GK8NS27GDFCZ|21|female|26|5|3
138|A2H7BU993SYRJG|https://requester.mturk.com/workers/A2H7BU993SYRJG|15|female|21|5|1
139|A2HBQP668JPNYH|https://requester.mturk.com/workers/A2HBQP668JPNYH|4|male|32|5|3
140|A2HHKBW8HQWI66|https://requester.mturk.com/workers/A2HHKBW8HQWI66|1|male|41|5|3
141|A2HM35CWB7IIFM|https://requester.mturk.com/workers/A2HM35CWB7IIFM|6|female|53|5|3
142|A2HR7ZIX42FEPG|https://requester.mturk.com/workers/A2HR7ZIX42FEPG|1|female|25|5|4
143|A2I3Y0L38HMQLZ|https://requester.mturk.com/workers/A2I3Y0L38HMQLZ|6|female|50|6|3
144|A2IA62NA4MKLSY|https://requester.mturk.com/workers/A2IA62NA4MKLSY|15|male|51|5|2
145|A2IASXMEJ90PQY|https://requester.mturk.com/workers/A2IASXMEJ90PQY|27|female|35|5|4
146|A2JH6SJZDJHZ9I|https://requester.mturk.com/workers/A2JH6SJZDJHZ9I|7|male|32|2|3
147|A2K9FAOBT66F3U|https://requester.mturk.com/workers/A2K9FAOBT66F3U|8|male|22|3|3
148|A2LJAWY0LUIMN1|https://requester.mturk.com/workers/A2LJAWY0LUIMN1|10|female|19|3|2
149|A2M5VW97GIYLHB|https://requester.mturk.com/workers/A2M5VW97GIYLHB|2|female|24|4|1
150|A2MCI9K0K5VX50|https://requester.mturk.com/workers/A2MCI9K0K5VX50|1|male|26|5|3
151|A2MMULW6Y6NAOQ|https://requester.mturk.com/workers/A2MMULW6Y6NAOQ|6|male|31|3|2
152|A2NOHPKYCW5FF9|https://requester.mturk.com/workers/A2NOHPKYCW5FF9|21|male|27|4|1
153|A2NRW37D7QPLRE|https://requester.mturk.com/workers/A2NRW37D7QPLRE|10|female|21|3|3
154|A2OCP3UDPBH0ME|https://requester.mturk.com/workers/A2OCP3UDPBH0ME|11|male|30|5|1
155|A2OW2CIT4H7364|https://requester.mturk.com/workers/A2OW2CIT4H7364|2|female|24|3|2
156|A2PE5UDQ5WG2R0|https://requester.mturk.com/workers/A2PE5UDQ5WG2R0|6|male|46|6|3
157|A2QH1BQA6GR48O|https://requester.mturk.com/workers/A2QH1BQA6GR48O|14|female|26|5|2
158|A2QLSHXNCHBRN4|https://requester.mturk.com/workers/A2QLSHXNCHBRN4|35|male|30|3|3
159|A2QN0EGBRGJU1M|https://requester.mturk.com/workers/A2QN0EGBRGJU1M|6|male|27|6|1
160|A2QQKVIN9R45N6|https://requester.mturk.com/workers/A2QQKVIN9R45N6|40|female|31|3|1
161|A2QU2REN7PGNCX|https://requester.mturk.com/workers/A2QU2REN7PGNCX|44|male|28|3|2
162|A2QVMCGDLTWV9|https://requester.mturk.com/workers/A2QVMCGDLTWV9|16|male|26|5|3
163|A2R6RDZ07V4KWB|https://requester.mturk.com/workers/A2R6RDZ07V4KWB|15|male|23|4|3
164|A2RG7VZAKGDEXI|https://requester.mturk.com/workers/A2RG7VZAKGDEXI|23|female|20|3|3
165|A2RWB8JR7AGKXZ|https://requester.mturk.com/workers/A2RWB8JR7AGKXZ|30|female|35|2|2
166|A2SD7GN80U31GW|https://requester.mturk.com/workers/A2SD7GN80U31GW|15|female|28|5|4
167|A2TMSM19YCEXLE|https://requester.mturk.com/workers/A2TMSM19YCEXLE|23|female|36|6|4
168|A2UX7ZJEGGU5|https://requester.mturk.com/workers/A2UX7ZJEGGU5|21|female|28|3|2
169|A2V6SYSAA0PML1|https://requester.mturk.com/workers/A2V6SYSAA0PML1|1|male|43|3|4
170|A2VE5IV9OD2SK1|https://requester.mturk.com/workers/A2VE5IV9OD2SK1|6|male|36|5|1
171|A2VSG0OWY55DGW|https://requester.mturk.com/workers/A2VSG0OWY55DGW|14|male|20|3|1
172|A2WFNPUI1JSPG4|https://requester.mturk.com/workers/A2WFNPUI1JSPG4|21|male|31|4|2
173|A2WNW8A4MOR7T7|https://requester.mturk.com/workers/A2WNW8A4MOR7T7|1|male|48|3|1
174|A2WWPL2YX6R0OU|https://requester.mturk.com/workers/A2WWPL2YX6R0OU|4|female|49|4|3
175|A2X0QHIU6YXSUS|https://requester.mturk.com/workers/A2X0QHIU6YXSUS|29|male|27|5|1
176|A2XH1XHGHM1HKQ|https://requester.mturk.com/workers/A2XH1XHGHM1HKQ|22|female|24|4|2
177|A2XJCQWVAZLW69|https://requester.mturk.com/workers/A2XJCQWVAZLW69|9|male|20|2|3
178|A2Y0ZGI29KQBTB|https://requester.mturk.com/workers/A2Y0ZGI29KQBTB|30|male|25|5|3
179|A2Y831RL41QACN|https://requester.mturk.com/workers/A2Y831RL41QACN|21|male|32|2|3
180|A2YAYHZYI7M3HD|https://requester.mturk.com/workers/A2YAYHZYI7M3HD|29|female|23|5|3
181|A2YBQF3CK3W714|https://requester.mturk.com/workers/A2YBQF3CK3W714|14|male|24|6|3
182|A2YDKZI930GXVP|https://requester.mturk.com/workers/A2YDKZI930GXVP|5|male|49|4|3
183|A2YFM1CTH90BFH|https://requester.mturk.com/workers/A2YFM1CTH90BFH|27|male|26|2|4
184|A2YFPO0N4GIS25|https://requester.mturk.com/workers/A2YFPO0N4GIS25|30|male|24|3|4
185|A2YTOX7SEDJ1TC|https://requester.mturk.com/workers/A2YTOX7SEDJ1TC|34|female|25|3|2
186|A2YYF3CH4JMC24|https://requester.mturk.com/workers/A2YYF3CH4JMC24|5|male|23|3|2
187|A2YYQJ3JWA2KGD|https://requester.mturk.com/workers/A2YYQJ3JWA2KGD|15|female|30|2|3
188|A2ZH5LDUY5UFD4|https://requester.mturk.com/workers/A2ZH5LDUY5UFD4|1|male|37|2|2
189|A30BMVAQBUNF7M|https://requester.mturk.com/workers/A30BMVAQBUNF7M|16|female|40|2|4
190|A30NHSMYI4BCEK|https://requester.mturk.com/workers/A30NHSMYI4BCEK|24|male|34|5|3
191|A3193MI1J3OGLA|https://requester.mturk.com/workers/A3193MI1J3OGLA|2|male|20|3|3
192|A31NM1MBTECA53|https://requester.mturk.com/workers/A31NM1MBTECA53|2|male|29|5|2
193|A31VXFZVLRDZHZ|https://requester.mturk.com/workers/A31VXFZVLRDZHZ|10|female|24|5|1
194|A31XNLA9REVGXL|https://requester.mturk.com/workers/A31XNLA9REVGXL|10|female|39|3|1
195|A3209D1227UCYP|https://requester.mturk.com/workers/A3209D1227UCYP|35|female|29|4|2
196|A323WW03VM8089|https://requester.mturk.com/workers/A323WW03VM8089|48|male|43|5|4
197|A32PNTIGJF38XQ|https://requester.mturk.com/workers/A32PNTIGJF38XQ|33|male|27|5|3
198|A32UO0DUJ1NX5J|https://requester.mturk.com/workers/A32UO0DUJ1NX5J|28|male|24|5|3
199|A3300UYCOCN5YI|https://requester.mturk.com/workers/A3300UYCOCN5YI|12|male|22|3|2
200|A33OQJ5NRKXQU3|https://requester.mturk.com/workers/A33OQJ5NRKXQU3|7|female|57|3|4
201|A33SMNMTMIOJ6T|https://requester.mturk.com/workers/A33SMNMTMIOJ6T|25|male|22|5|5
202|A34DWBBWZRLO1X|https://requester.mturk.com/workers/A34DWBBWZRLO1X|7|female|52|5|4
203|A34EHWCN00PHGG|https://requester.mturk.com/workers/A34EHWCN00PHGG|6|female|28|3|3
204|A34WJQ3ATLZ2M4|https://requester.mturk.com/workers/A34WJQ3ATLZ2M4|6|male|28|6|4
205|A359ETX78LN74M|https://requester.mturk.com/workers/A359ETX78LN74M|38|female|27|4|3
206|A35BFS4XL53EVR|https://requester.mturk.com/workers/A35BFS4XL53EVR|12|male|32|5|1
207|A35BY30TC8WCL4|https://requester.mturk.com/workers/A35BY30TC8WCL4|2|male|24|3|2
208|A35OGKV242IJ78|https://requester.mturk.com/workers/A35OGKV242IJ78|11|male|35|3|2
209|A35Z1QH3JQEZG6|https://requester.mturk.com/workers/A35Z1QH3JQEZG6|14|male|27|5|2
210|A364KJDYEBAWC9|https://requester.mturk.com/workers/A364KJDYEBAWC9|12|male|45|5|4
211|A37I58C4258IPX|https://requester.mturk.com/workers/A37I58C4258IPX|23|male|46|5|3
212|A37IPQ4H3D3XIR|https://requester.mturk.com/workers/A37IPQ4H3D3XIR|22|male|29|5|3
213|A37QW51L039KKQ|https://requester.mturk.com/workers/A37QW51L039KKQ|19|male|26|5|2
214|A37WXDYYT7RCZ0|https://requester.mturk.com/workers/A37WXDYYT7RCZ0|30|male|31|6|3
215|A37XVHGR4ZSTSM|https://requester.mturk.com/workers/A37XVHGR4ZSTSM|6|female|34|4|1
216|A38EHOL0U2BTV0|https://requester.mturk.com/workers/A38EHOL0U2BTV0|21|male|26|3|2
217|A38QM2WVQ7O9MF|https://requester.mturk.com/workers/A38QM2WVQ7O9MF|44|male|26|6|4
218|A38VDOF4BJBZKU|https://requester.mturk.com/workers/A38VDOF4BJBZKU|1|female|28|5|4
219|A3962XGOENS5V6|https://requester.mturk.com/workers/A3962XGOENS5V6|1|male|24|5|3
220|A3B6TW0WPGVR21|https://requester.mturk.com/workers/A3B6TW0WPGVR21|14|female|33|5|2
221|A3B9XDWVYAEDXF|https://requester.mturk.com/workers/A3B9XDWVYAEDXF|4|male|53|5|3
222|A3BMEVFSETVOUR|https://requester.mturk.com/workers/A3BMEVFSETVOUR|15|male|18|3|3
223|A3BYE6AJS15HLT|https://requester.mturk.com/workers/A3BYE6AJS15HLT|1|female|27|3|1
224|A3CQZVJVN8AVQ8|https://requester.mturk.com/workers/A3CQZVJVN8AVQ8|40|male|28|5|4
225|A3D2U4QF7821ZW|https://requester.mturk.com/workers/A3D2U4QF7821ZW|29|male|27|5|2
226|A3DFMWYTKJ57L|https://requester.mturk.com/workers/A3DFMWYTKJ57L|3|female|32|2|1
227|A3DJSZ7KSUZRV0|https://requester.mturk.com/workers/A3DJSZ7KSUZRV0|7|male|35|3|1
228|A3DMHLG2GUQAMH|https://requester.mturk.com/workers/A3DMHLG2GUQAMH|21|female|20|3|5
229|A3E8SXH0BAYG85|https://requester.mturk.com/workers/A3E8SXH0BAYG85|20|male|44|3|2
230|A3EJ44J2ZNRMDA|https://requester.mturk.com/workers/A3EJ44J2ZNRMDA|20|male|43|5|2
231|A3ER967LRUC39Y|https://requester.mturk.com/workers/A3ER967LRUC39Y|25|female|29|3|2
232|A3EYWJCIO1MG9W|https://requester.mturk.com/workers/A3EYWJCIO1MG9W|38|male|25|3|2
233|A3FAURB3U6YND5|https://requester.mturk.com/workers/A3FAURB3U6YND5|40|female|25|4|3
234|A3G3G7SCD88G1J|https://requester.mturk.com/workers/A3G3G7SCD88G1J|23|female|31|5|3
235|A3GIEQVIZI4YB|https://requester.mturk.com/workers/A3GIEQVIZI4YB|7|male|30|6|2
236|A3GLUDQZGEJL5G|https://requester.mturk.com/workers/A3GLUDQZGEJL5G|6|female|30|2|4
237|A3HB9PPUZU565U|https://requester.mturk.com/workers/A3HB9PPUZU565U|6|female|33|5|4
238|A3HKUTT4DCCMSS|https://requester.mturk.com/workers/A3HKUTT4DCCMSS|11|female|23|5|2
239|A3HTLXAPOBCVVO|https://requester.mturk.com/workers/A3HTLXAPOBCVVO|14|female|45|5|3
240|A3HXCMU4MOPSQI|https://requester.mturk.com/workers/A3HXCMU4MOPSQI|44|male|38|3|2
241|A3JG1P42AS7WKH|https://requester.mturk.com/workers/A3JG1P42AS7WKH|22|female|34|3|2
242|A3KCUB6P3IE8NL|https://requester.mturk.com/workers/A3KCUB6P3IE8NL|26|male|25|3|4
243|A3L60SOWLYEDN2|https://requester.mturk.com/workers/A3L60SOWLYEDN2|25|male|30|2|3
244|A3NN9144OLETQP|https://requester.mturk.com/workers/A3NN9144OLETQP|20|male|24|5|2
245|A3NVEOFU6U5KW6|https://requester.mturk.com/workers/A3NVEOFU6U5KW6|14|female|22|3|1
246|A3OWP3M7I9AQ44|https://requester.mturk.com/workers/A3OWP3M7I9AQ44|11|female|27|4|1
247|A3OZ288I9CBLWF|https://requester.mturk.com/workers/A3OZ288I9CBLWF|6|female|32|5|3
248|A3OZ8KF0HWSVWK|https://requester.mturk.com/workers/A3OZ8KF0HWSVWK|2|male|47|3|2
249|A3Q92WMGIHEPSD|https://requester.mturk.com/workers/A3Q92WMGIHEPSD|3|male|34|5|3
250|A3QB0Z9AN62HFH|https://requester.mturk.com/workers/A3QB0Z9AN62HFH|39|male|24|5|3
251|A3QY3I5O0STFGA|https://requester.mturk.com/workers/A3QY3I5O0STFGA|5|male|24|2|1
252|A3RTROKHB6J9B9|https://requester.mturk.com/workers/A3RTROKHB6J9B9|24|male|24|4|3
253|A3RU7ANMLXJQF6|https://requester.mturk.com/workers/A3RU7ANMLXJQF6|11|female|21|3|3
254|A3RYH6OUH7BJ4Z|https://requester.mturk.com/workers/A3RYH6OUH7BJ4Z|15|male|23|5|2
255|A3S2158K34PTVU|https://requester.mturk.com/workers/A3S2158K34PTVU|15|male|23|3|2
